epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1369.2,0.44523,1.25621,0.3933,0.88791,0.94183,0.8979,0.96551,0.90873,0.93962,0.88901,0.9503,0.65871,0.37944,1.22437,0.41602,0.85586,0.000355019,0.000355019,0.000355019
103,1381.54,0.43639,1.20936,0.38511,0.87707,0.957,0.91836,0.96708,0.91471,0.95476,0.91344,0.95359,0.66546,0.36228,1.20219,0.36496,0.847,0.000349468,0.000349468,0.000349468
104,1393.96,0.43959,1.17905,0.39805,0.87557,0.94691,0.94514,0.97144,0.91328,0.94971,0.93571,0.95909,0.63949,0.38586,1.32235,0.34625,0.85705,0.000343921,0.000343921,0.000343921
105,1407.22,0.41224,1.15281,0.38901,0.87744,0.95973,0.93001,0.97341,0.91532,0.95577,0.92157,0.9631,0.65692,0.37291,1.22696,0.35135,0.85044,0.000338378,0.000338378,0.000338378
106,1419.81,0.43439,1.19591,0.38179,0.87246,0.9642,0.9346,0.97218,0.91828,0.96229,0.9262,0.95689,0.66831,0.36518,1.24159,0.33789,0.85106,0.00033284,0.00033284,0.00033284
107,1433.21,0.42777,1.18784,0.38718,0.88545,0.96723,0.93211,0.97075,0.91526,0.96429,0.92631,0.9595,0.64737,0.35899,1.31413,0.34836,0.84809,0.000327309,0.000327309,0.000327309
108,1446.21,0.43149,1.2229,0.40764,0.88051,0.95663,0.93739,0.97434,0.92115,0.95347,0.93364,0.96416,0.63095,0.37396,1.39699,0.33054,0.85681,0.000321787,0.000321787,0.000321787
109,1458.87,0.41435,1.20276,0.37427,0.86597,0.97371,0.92404,0.97506,0.92146,0.97428,0.91673,0.96326,0.64598,0.35594,1.28425,0.33121,0.84707,0.000316273,0.000316273,0.000316273
110,1471.72,0.41892,1.19337,0.38242,0.8795,0.95736,0.92691,0.97376,0.91101,0.96091,0.91839,0.96635,0.66372,0.3702,1.22902,0.33545,0.8463,0.000310771,0.000310771,0.000310771
111,1484.39,0.41702,1.18725,0.3784,0.87951,0.94196,0.94833,0.97705,0.92302,0.93922,0.94067,0.96756,0.63826,0.35817,1.35688,0.33585,0.84744,0.000305281,0.000305281,0.000305281
112,1497.12,0.41903,1.21716,0.37594,0.88169,0.95035,0.94263,0.96944,0.91452,0.94929,0.93653,0.96225,0.6694,0.36596,1.16617,0.34038,0.84946,0.000299805,0.000299805,0.000299805
